0, 0.608074, -0.227957, 0.760448, -0.190744, -0.206472, -0.970335, -0.125774, 0.090182, 0.766561, -0.080531, -0.637102, 0.680664, 0.000000, 0.000000, 0.000000, 1.000000
2, 0.115716, -0.868328, 0.482303, 0.129528, -0.990635, -0.065459, 0.119825, 0.067168, -0.072476, -0.491652, -0.867771, 0.843232, 0.000000, 0.000000, 0.000000, 1.000000
3, -0.621279, -0.251748, 0.742048, 0.077165, -0.114947, 0.966022, 0.231495, -0.200584, -0.775113, 0.058527, -0.629106, 0.797964, 0.000000, 0.000000, 0.000000, 1.000000
4, -0.336674, 0.322160, 0.884796, -0.127778, 0.681785, 0.731520, -0.006926, -0.217082, -0.649477, 0.600908, -0.465928, 0.724895, 0.000000, 0.000000, 0.000000, 1.000000
5, 0.669171, -0.298616, 0.680469, -0.195429, -0.342212, -0.936664, -0.074514, 0.175949, 0.659621, -0.183002, -0.728979, 0.702326, 0.000000, 0.000000, 0.000000, 1.000000
7, 0.835416, -0.152709, 0.527977, -0.084341, -0.315611, -0.919744, 0.233368, 0.020666, 0.449967, -0.361595, -0.816565, 0.721487, 0.000000, 0.000000, 0.000000, 1.000000
8, -0.847315, 0.041740, 0.529448, 0.085027, 0.123015, 0.985220, 0.119199, -0.170802, -0.516647, 0.166130, -0.839927, 0.807260, 0.000000, 0.000000, 0.000000, 1.000000
10, 0.116849, 0.764292, 0.634196, -0.211792, 0.992590, -0.111308, -0.048741, -0.200646, 0.033338, 0.635192, -0.771634, 0.805319, 0.000000, 0.000000, 0.000000, 1.000000
11, -0.100541, -0.789749, 0.605135, -0.003613, -0.984280, 0.167718, 0.055351, 0.056164, -0.145205, -0.590057, -0.794197, 0.851354, 0.000000, 0.000000, 0.000000, 1.000000
13, 0.762922, -0.432419, 0.480588, -0.081306, -0.285262, -0.892264, -0.349986, 0.214723, 0.580151, 0.129918, -0.804081, 0.679883, 0.000000, 0.000000, 0.000000, 1.000000
14, 0.317651, -0.808618, 0.495212, -0.022547, -0.903480, -0.416620, -0.100756, 0.189871, 0.287788, -0.415408, -0.862910, 0.807112, 0.000000, 0.000000, 0.000000, 1.000000
16, 0.736280, -0.022080, 0.676317, -0.225094, -0.174024, -0.972029, 0.157719, 0.143023, 0.653917, -0.233821, -0.719528, 0.639189, 0.000000, 0.000000, 0.000000, 1.000000
17, -0.006536, 0.812895, 0.582373, -0.224533, 0.999087, -0.019284, 0.038131, -0.176516, 0.042227, 0.582090, -0.812027, 0.682072, 0.000000, 0.000000, 0.000000, 1.000000
18, -0.757766, -0.015126, 0.652351, 0.029856, 0.376818, 0.806045, 0.456398, -0.252567, -0.532728, 0.591661, -0.605094, 0.753377, 0.000000, 0.000000, 0.000000, 1.000000
20, -0.252087, -0.835624, 0.488043, 0.107602, -0.948208, 0.314020, 0.047889, 0.077924, -0.193272, -0.450694, -0.871505, 0.896102, 0.000000, 0.000000, 0.000000, 1.000000
